,alg,dataset,hyperparam,train_gmeans,train_recall,train_pf,dev_gmeans,dev_recall,dev_pf,test_gmeans,test_recall,test_pf
10,NN,PC3,"{'drop': 0.13070920517387022, 'layer': 3.0639452518879673, 'lr': 0.004843527102516748, 'neurons': 47.69331838808714}",0.573596360269564,0.3309248554913295,0.005777961205117622,0.5374356580640713,0.29464285714285715,0.019704433497536946,0.4617411820494166,0.21641791044776118,0.014846235418875928
11,NN,PC4,"{'drop': 0.13070920517387022, 'layer': 3.0639452518879673, 'lr': 0.004843527102516748, 'neurons': 47.69331838808714}",0.8141084976872898,0.6783369803063457,0.022944841209542623,0.7299749351380703,0.551948051948052,0.034576888080072796,0.7471681086504359,0.5730337078651685,0.02578125
12,NN,CM1,"{'drop': 0.10855191425533045, 'layer': 4.6418020018419295, 'lr': 0.01, 'neurons': 40.43652167400143}",0.4437555296259036,0.1987179487179487,0.009052924791086351,0.31269438398822863,0.1,0.022222222222222223,0.3741572352004962,0.14285714285714285,0.0200445434298441
13,NN,JM1,"{'drop': 0.1, 'layer': 3.1183071347582807, 'lr': 0.001, 'neurons': 45.094834119725775}",0.4206394343543272,0.1805955247548012,0.02025515873574051,0.3986009844904745,0.1631578947368421,0.02620253164556962,0.40977854068627934,0.17213504517356157,0.02449584140366868
14,RF_SMOTE,KC1,"{'depth': 7.703610876945751, 'estimator': 46.134681457843925, 'max_features': 0.24047044784818752, 'max_leaf_nodes': 47.36511114886698, 'min_leaf': 1.4347217353831667, 'min_split': 12.490775782772259, 'neighbors': 6.830464333028321, 'sampling': 0.9174441181992385}",0.8963370321262499,0.9187943798156821,0.12557140878237982,0.7454281019044207,0.6804123711340206,0.18334369173399628,0.6984173786224425,0.598159509202454,0.18452047111609646
15,RF_SMOTE,KC2,"{'depth': 10.0, 'estimator': 78.22159861111464, 'max_features': 0.01, 'max_leaf_nodes': 37.89416596927188, 'min_leaf': 12.911717046764235, 'min_split': 11.63525393503231, 'neighbors': 7.449906539216214, 'sampling': 0.6693226993557126}",0.8161248182536511,0.7660714285714286,0.13055141579731744,0.8424414533599242,0.8222222222222222,0.1368421052631579,0.7523412393253448,0.6635514018691588,0.14698795180722893
16,RF_SMOTE,PC1,"{'depth': 7.300543457744263, 'estimator': 122.16944337899976, 'max_features': 1.0, 'max_leaf_nodes': 11.975088973142851, 'min_leaf': 20.0, 'min_split': 14.859199205721598, 'neighbors': 5.343197619319898, 'sampling': 1.0}",0.8808517040443905,0.9263636363636364,0.16242424242424242,0.7956167906764903,0.7741935483870968,0.1823671497584541,0.7356465716532502,0.6753246753246753,0.19864341085271317
17,RF_SMOTE,PC3,"{'depth': 3.3949701269523773, 'estimator': 148.3687581597106, 'max_features': 0.11952982627505722, 'max_leaf_nodes': 36.00761814987691, 'min_leaf': 3.426735987920421, 'min_split': 2.8001974652962733, 'neighbors': 2.516896116272075, 'sampling': 0.9001962780315503}",0.8441620286214213,0.9435261707988981,0.24473792818819645,0.7423074889580903,0.7767857142857143,0.29064039408866993,0.7668278039414965,0.8059701492537313,0.2704135737009544
18,RF_SMOTE,PC4,"{'depth': 5.751418851137396, 'estimator': 142.1941200389795, 'max_features': 0.9144757694491507, 'max_leaf_nodes': 23.58333958731215, 'min_leaf': 15.28180324818922, 'min_split': 14.115905770764705, 'neighbors': 1.0, 'sampling': 1.0}",0.9286928647055591,0.9919465126880413,0.1305272754900471,0.8493524707027063,0.8636363636363636,0.16469517743403095,0.8575584094169899,0.8707865168539326,0.15546875
19,RF_SMOTE,CM1,"{'depth': 5.920392514089517, 'estimator': 35.87962377357378, 'max_features': 0.9698887814869129, 'max_leaf_nodes': 39.2063755213335, 'min_leaf': 18.850479889719594, 'min_split': 18.106892307697677, 'neighbors': 6.381099809299767, 'sampling': 0.9486948101396808}",0.8868441826864089,0.9419544452608376,0.16504178272980502,0.7046472718869902,0.65,0.2361111111111111,0.6928045776478907,0.6122448979591837,0.21603563474387527
20,RF_SMOTE,JM1,"{'depth': 8.4813213026013, 'estimator': 104.08635599264187, 'max_features': 0.8526693236333777, 'max_leaf_nodes': 5.41917924519546, 'min_leaf': 2.24029738982036, 'min_split': 8.984178970396119, 'neighbors': 8.45139009943751, 'sampling': 0.9709811346454419}",0.7207977128292039,0.7155151181490228,0.2738806914886135,0.6478853008760674,0.5810526315789474,0.27759493670886076,0.6601031619590525,0.6010461245839277,0.27503702859747065
21,DT_SMOTE,KC1,"{'depth': 4.57782617473427, 'neighbors': 1.38949074428528, 'sampling': 0.9288280100670934}",0.7830344286799885,0.8791020286396182,0.3025349771436487,0.7410185085607089,0.7938144329896907,0.30826600372902424,0.6802103387669413,0.6932515337423313,0.33258553000560853
22,DT_SMOTE,KC2,"{'depth': 1.8484422474565687, 'neighbors': 8.639686156512989, 'sampling': 0.35917033847499785}",0.7879329292796559,0.7025,0.11624441132637854,0.8372888579092328,0.8,0.12368421052631579,0.7390532810834065,0.6261682242990654,0.12771084337349398
23,DT_SMOTE,PC1,"{'depth': 4.635555354106042, 'neighbors': 7.662846832269908, 'sampling': 0.9735502616043376}",0.8779714955202683,0.9414330218068536,0.1812121212121212,0.8044552194457449,0.7903225806451613,0.18115942028985507,0.7125848066120383,0.6493506493506493,0.2180232558139535
24,DT_SMOTE,PC3,"{'depth': 4.812185285465034, 'neighbors': 9.683776268812084, 'sampling': 0.9943889193997676}",0.8666072809313088,0.9630552096305521,0.22018159306644655,0.7468044166545172,0.7767857142857143,0.28201970443349755,0.7510405985422774,0.7686567164179104,0.26617179215270415
25,DT_SMOTE,PC4,"{'depth': 4.961372443656412, 'neighbors': 2.0983441136030097, 'sampling': 0.6325392728699936}",0.9106222045631851,0.9434960327001684,0.12110621486096337,0.8274383905794984,0.8116883116883117,0.1565059144676979,0.8279908334182928,0.797752808988764,0.140625
26,DT_SMOTE,CM1,"{'depth': 3.741133930798285, 'neighbors': 2.79013373100362, 'sampling': 0.7898696281507758}",0.839443744233952,0.9274977895667551,0.2402506963788301,0.7035623639735145,0.675,0.26666666666666666,0.6626242912242158,0.6122448979591837,0.2828507795100223
27,DT_SMOTE,JM1,"{'depth': 1.0, 'neighbors': 9.448792191302406, 'sampling': 0.9637926071208499}",0.6619762659630904,0.6138689007925503,0.2861463153897008,0.6496488571335672,0.5921052631578947,0.2872151898734177,0.660102464334156,0.6110318592486923,0.2868861797880825
28,NB_SMOTE,KC1,"{'neighbors': 9.566187911141528, 'sampling': 1.0, 'var_smoothing': 0.0}",0.6045943664045202,0.4078819781133121,0.10382324421665051,0.6318632803846643,0.45017182130584193,0.11311373523927906,0.6067648102465216,0.4110429447852761,0.10431856421761077
29,NB_SMOTE,KC2,"{'neighbors': 10.0, 'sampling': 1.0, 'var_smoothing': 0.0}",0.6272341847328691,0.4241430700447094,0.07242921013412816,0.7121748257669183,0.5444444444444444,0.06842105263157895,0.651797165609266,0.45794392523364486,0.07228915662650602
30,NB_SMOTE,PC1,"{'neighbors': 8.491983767203795, 'sampling': 0.4266616386627172, 'var_smoothing': 0.18182496720710062}",0.5279679297078156,0.302491103202847,0.07848484848484849,0.5626898931458849,0.3387096774193548,0.06521739130434782,0.5469845399851669,0.3246753246753247,0.07848837209302326
31,NB_SMOTE,PC3,"{'neighbors': 5.104629857953324, 'sampling': 0.8436295822979746, 'var_smoothing': 0.19967378215835974}",0.7570012204860735,0.9137888807249571,0.3728848534874123,0.7184913136351592,0.8660714285714286,0.4039408866995074,0.7265318727128978,0.8582089552238806,0.38494167550371156
32,NB_SMOTE,PC4,"{'neighbors': 5.628109945722504, 'sampling': 0.7033185646746807, 'var_smoothing': 0.046450412719997725}",0.7550203380074996,0.7384914631510698,0.22808083877830118,0.7583169585480056,0.7532467532467533,0.23657870791628755,0.7494379916782886,0.7247191011235955,0.225
33,NB_SMOTE,CM1,"{'neighbors': 9.543079965114355, 'sampling': 0.9144578624308968, 'var_smoothing': 0.8096543642456095}",0.5978108321975483,0.4431731502669718,0.1935933147632312,0.6651545350935792,0.575,0.23055555555555557,0.6222982602957009,0.4897959183673469,0.20935412026726058
34,NB_SMOTE,JM1,"{'neighbors': 5.737930618887926, 'sampling': 1.0, 'var_smoothing': 0.0}",0.4496929376838975,0.21478907909358164,0.058500836931906094,0.4701226681600467,0.23578947368421052,0.06265822784810127,0.46349413632688236,0.2282453637660485,0.05879001936880483
35,LR_SMOTE,KC1,"{'c': 9.493037644435985, 'max_iter': 180.19566905901883, 'neighbors': 6.308826443679532, 'sampling': 0.9164393564052778}",0.7145962815770149,0.675158754157847,0.24366255714087823,0.7298670078760635,0.7319587628865979,0.27221876942200124,0.711631109765381,0.6748466257668712,0.2495793606281548
36,LR_SMOTE,KC2,"{'c': 4.370861069626263, 'max_iter': 192.60714596148742, 'neighbors': 7.587945476302646, 'sampling': 0.707863510647023}",0.7563132846261547,0.679324894514768,0.15797317436661698,0.8321043569280919,0.8222222222222222,0.15789473684210525,0.7688625659441438,0.7009345794392523,0.1566265060240964
37,LR_SMOTE,PC1,"{'c': 9.444823675266589, 'max_iter': 155.9489187073689, 'neighbors': 5.051206602210527, 'sampling': 0.9988848699221872}",0.7399030184797293,0.6701062215477998,0.18303030303030304,0.6994900076792184,0.6129032258064516,0.20169082125603865,0.6906488777553392,0.5974025974025974,0.20155038759689922
38,LR_SMOTE,PC3,"{'c': 1.1352804356984763, 'max_iter': 186.17754447332075, 'neighbors': 9.992451800420849, 'sampling': 0.6951022036930874}",0.7430660866867365,0.6831006831006831,0.1917044985555097,0.7167828885789657,0.6696428571428571,0.23275862068965517,0.7051511141100965,0.6268656716417911,0.2067868504772004
39,LR_SMOTE,PC4,"{'c': 9.444823675266589, 'max_iter': 155.9489187073689, 'neighbors': 5.051206602210527, 'sampling': 0.9988848699221872}",0.8618634000094563,0.90711131414649,0.18112748822367422,0.8461080019303671,0.8636363636363636,0.1710646041856233,0.817529807380169,0.8202247191011236,0.18515625
40,LR_SMOTE,CM1,"{'c': 7.587945476302646, 'max_iter': 139.7987726295555}",0.2883734360613204,0.08333333333333333,0.0020891364902506965,0.1578941276791368,0.025,0.002777777777777778,0.14269797050369487,0.02040816326530612,0.0022271714922048997
41,LR_SMOTE,JM1,"{'c': 7.140921207471923, 'max_iter': 68.78388993998504}",0.2880855201265782,0.08410172079638221,0.013179919260686707,0.3018397949665513,0.09263157894736843,0.016455696202531647,0.28640763702841004,0.08321445553970519,0.014241768257946907
42,KNN_SMOTE,KC1,"{'leaf': 41.78425079321323, 'n': 7.255965670296397, 'neighbors': 6.958914280512885, 'sampling': 1.0}",0.8789146078012564,0.9463914669621831,0.18375121207923534,0.7201175612161811,0.6941580756013745,0.25295214418893724,0.7014529482730945,0.6380368098159509,0.22882781828379137
43,KNN_SMOTE,KC2,"{'leaf': 41.78425079321323, 'n': 7.255965670296397, 'neighbors': 6.958914280512885, 'sampling': 1.0}",0.8472031652941715,0.9093889716840536,0.21073025335320417,0.7772533737575823,0.7888888888888889,0.23421052631578948,0.7614752865938808,0.7663551401869159,0.2433734939759036
44,KNN_SMOTE,PC1,"{'leaf': 16.313617301059892, 'n': 10.0, 'neighbors': 9.226925263339702, 'sampling': 1.0}",0.8985768259937709,0.9742424242424242,0.1712121212121212,0.8279630607598736,0.8548387096774194,0.19806763285024154,0.7678707513561651,0.7402597402597403,0.20348837209302326
45,KNN_SMOTE,PC3,"{'leaf': 15.569381555495742, 'n': 9.362855923325126, 'neighbors': 9.93854675547892, 'sampling': 0.9135871771587059}",0.8786350477827793,0.9855399909624943,0.21667354519191084,0.713746717820233,0.7321428571428571,0.3041871921182266,0.7207631601902798,0.7089552238805971,0.2672322375397667
46,KNN_SMOTE,PC4,"{'leaf': 23.239140357459718, 'n': 8.411151647026827, 'neighbors': 9.1225960364081, 'sampling': 0.83408857467596}",0.906258105193544,0.9848760932944607,0.1660841817352986,0.8086848227815125,0.8376623376623377,0.21929026387625114,0.7977760520431051,0.8089887640449438,0.21328125
47,KNN_SMOTE,CM1,"{'leaf': 23.385472597412132, 'n': 9.476910215764745, 'neighbors': 5.81525897459046, 'sampling': 0.7486178036022055}",0.8603102102846347,0.9831932773109243,0.24721448467966572,0.7013875137500271,0.7,0.2972222222222222,0.6237209083115086,0.5510204081632653,0.29398663697104677
48,KNN_SMOTE,JM1,"{'leaf': 15.215440637799505, 'n': 10.0, 'neighbors': 10.0, 'sampling': 1.0}",0.8157737223717225,0.8728566806858622,0.2375761326712897,0.6435844410110655,0.5847368421052631,0.2916455696202532,0.6429562500303476,0.5820256776034237,0.28973453343967187
